prediction	target	loss	dist
contreplediez	contrepledez	0.5393153429031372	1
craqueleraient	craquelleraient	0.4783877730369568	1
craquelerai	craquellerai	0.5738450288772583	1
craquelerez	craquellerez	0.5735548734664917	1
craqueleras	craquelleras	0.5733951926231384	1
craqueles	craquelles	0.669508159160614	1
craquelent	craquellent	0.6187789440155029	1
craquele	craquelle	0.7309118509292603	1
craqueles	craquelles	0.665582537651062	1
craquele	craquelle	0.724291980266571	1
culcheriez	culcheriiez	0.6569485068321228	1
culchasmes	culchames	0.7327044606208801	1
culcha	culchai	0.825230062007904	1
desregleroies	desreglerois	0.6141782402992249	1
desserrois	desserrais	0.7063611745834351	1
desserroient	desserraient	0.602786660194397	1
desserroit	desserrait	0.7041146755218506	1
délaierais	délayerais	0.26088711619377136	1
délaierais	délayerais	0.2481815367937088	1
délaierait	délayerait	0.2823088467121124	1
délaierai	délayerai	0.640608012676239	1
délaieras	délayeras	0.5656445026397705	1
délaieront	délayeront	0.3971843719482422	1
délaiera	délayera	0.6146495342254639	1
enquatant	enqu<UNK>tant	0.4568411707878113	1
enquaterions	enqu<UNK>terions	0.36279943585395813	1
enquateras	enqu<UNK>teras	0.4204161465167999	1
enquateront	enqu<UNK>teront	0.39017561078071594	1
enquatera	enqu<UNK>tera	0.45699673891067505	1
enquate	enqu<UNK>te	0.5569247603416443	1
enquates	enqu<UNK>tes	0.5026642680168152	1
enquations	enqu<UNK>tions	0.41942349076271057	1
enquataient	enqu<UNK>taient	0.3883557617664337	1
enquatâmes	enqu<UNK>tâmes	0.41848552227020264	1
enquatai	enqu<UNK>tai	0.5009491443634033	1
enquatâtes	enqu<UNK>tâtes	0.41822516918182373	1
enquatèrent	enqu<UNK>tèrent	0.38807404041290283	1
enquate	enqu<UNK>te	0.5577484965324402	1
enquatiez	enqu<UNK>tiez	0.4557495713233948	1
enquates	enqu<UNK>tes	0.5001934766769409	1
enquatent	enqu<UNK>tent	0.4572029113769531	1
enquatassions	enqu<UNK>tassions	0.33935976028442383	1
enquatassent	enqu<UNK>tassent	0.3624038100242615	1
enquatât	enqu<UNK>tât	0.5007421970367432	1
entre-louerent	entre-louèrent	0.4804792106151581	1
entre-louez	entre-louiez	0.507898211479187	1
jüges	juges	0.9896929860115051	1
jügent	jugent	0.49406886100769043	1
jugiiez	jugiez	0.8328824639320374	1
jugez	jugiez	0.9069330096244812	1
mendiiens	mendiions	0.7333534955978394	1
mendiez	mendiiez	0.8265727162361145	1
enobjeçtivant	enobjectivant	0.5095818638801575	1
objeçtivant	objectivant	0.24693937599658966	1
objeçtivâmes	objectivâmes	0.11390655487775803	1
objeçtivons	objectivons	0.3167499303817749	1
préleverais	prélèverais	0.6224868297576904	1
préleverait	prélèverait	0.6228567361831665	1
préleverai	prélèverai	0.6750027537345886	1
préleveras	prélèveras	0.6755829453468323	1
préleves	prélèves	0.7958006262779236	1
prélevent	prélèvent	0.6617134809494019	1
recompararissions	recomparaissions	0.427804172039032	1
recompararissiez	recomparaissiez	0.5705807209014893	1
reteindriiez	reteindriez	0.11670263856649399	1
reteindroient	reteindraient	0.45604100823402405	1
reteindroit	reteindrait	0.5274350047111511	1
reteinz	reteins	0.30609607696533203	1
reteignissons	reteignissions	0.12969432771205902	1
entailadant	entailladant	0.23044273257255554	1
tuneriiez	tuneriez	0.7751951813697815	1
tuneroient	tuneraient	0.6953569054603577	1
tun	tune	1.3330268859863281	1
tunoient	tunaient	0.8318042755126953	1
tunames	tunâmes	0.9279250502586365	1
tun	tune	1.470489263534546	1
tuns	tunes	1.2396258115768433	1
tunt	tune	1.4922935962677002	1
émeustille	émoustille	0.6245372891426086	1
émeustille	émoustille	0.28228166699409485	1
émeustilles	émoustilles	0.12935186922550201	1
